"reportNbr","offenseCode","offenseDsc","locationName","latitudeCrd","longitudeCrd","firstReportDtm"
"161101046","DISORDER","DISORDERLY CONDUCT","2XX N GLEBE RD","38.87251214","-77.10603424","2016-11-01T23:26:00"
"161101044","DISORDER","DISORDERLY CONDUCT","16XX N GEORGE MASON DR","38.8899561","-77.1283746","2016-11-01T22:22:00"
"161101041","NARCOTIC","DANGEROUS DRUGS - OTHER","11XX S HAYES ST","38.86453439","-77.05920752","2016-11-01T20:21:00"
"161101038","LARCENY","LARCENY - OTHER","10XX N RANDOLPH ST","38.88398766","-77.11104059","2016-11-01T18:27:00"
"161101036","PIMVACC","PERSONAL INJURY MOTOR VEH ACCIDENT","2XX N WAYNE ST","38.88086759","-77.08611017","2016-11-01T18:12:00"
"161101035","PDMVH&R","PROPERTY DAMAGE MOTOR VEH ACC-H&R","1ST ST & N FILLMORE RD N","38.87658265","-77.0914065","2016-11-01T16:36:00"
"161101034","ASSAULT","ASSAULT - OTHER","35XX 23RD ST S","38.84946058","-77.08561228","2016-11-01T16:00:00"
"161101033","PDMVACC","PROPERTY DAMAGE MOTOR VEH ACCIDENT","19XX S GEORGE MASON DR","38.84882791","-77.11137574","2016-11-01T15:37:00"
"161101032","WARRSVC","WARRANT SERVICE","29XX S GLEBE RD","38.84409261","-77.0686234","2016-11-01T15:29:00"
"161101028","TRAFPROB","TRAFFIC PROBLEM-OTHER","42XX S S FOUR MILE RUN DR","38.85077022","-77.09872945","2016-11-01T14:24:00"
"161101029","TREPASS","TRESPASSING","12XX S FERN ST","38.86220005","-77.05886707","2016-11-01T14:21:00"
"161101031","WARRSVC","WARRANT SERVICE","8XX N WAKEFIELD ST","38.88093458","-77.11507322","2016-11-01T14:13:00"
"161101026","VANDALSM","VANDALISM (PROP DAMAGE) - OTHER","11XX N GLEBE RD","38.88295679","-77.11819403","2016-11-01T13:44:00"
"161101023","VEHTHEFT","VEHICLE THEFT - OTHER","13XX S JOYCE ST","38.86445318","-77.06223069","2016-11-01T12:40:00"
"161101024","LARCENY","LARCENY - OTHER","12XX S FERN ST","38.86039796","-77.05538844","2016-11-01T11:54:00"
"161101020","VEHTHEFT","VEHICLE THEFT - OTHER","26XX JEFFERSON","38.85126413","-77.05427054","2016-11-01T11:00:00"
"161101018","PUBLORDR","MISC PUBLIC ORDER CRIMES","45XX S FOUR MILE RUN DR","38.8533845","-77.10417568","2016-11-01T09:29:00"
"161101012","FRAUD","FRAUD - OTHER","12XX N VEITCH ST","38.8885711","-77.08734664","2016-11-01T08:33:00"
"161101010","BURGLARY","BURGLARY - OTHER","25XX FRANKLIN RD","38.89189031","-77.09053296","2016-11-01T07:04:00"
"161101009","PIMVACC","PERSONAL INJURY MOTOR VEH ACCIDENT","CHAIN BRIDGE RD & N GLEBE RD","38.93065389","-77.1159667","2016-11-01T06:51:00"
"161101003","PUBPEACE","PUBLIC PEACE - OTHER","20XX N WOODSTOCK ST","38.89630844","-77.11713462","2016-11-01T02:48:00"
"161031029","PUBLORDR","MISC PUBLIC ORDER CRIMES","24XX N HARRISON ST","38.89515939","-77.13678288","2016-10-31T17:28:00"
"161031026","PDMVACC","PROPERTY DAMAGE MOTOR VEH ACCIDENT","N RANDOLPH & WILSON BL ST","38.88041592","-77.10824974","2016-10-31T16:42:00"
"161031022","TRAFPROB","TRAFFIC PROBLEM-OTHER","S, FOXX MILE RUN DR AT S WALTER REED DR","38.84580557","-77.0969117","2016-10-31T14:00:00"
"161031020","PIMVACC","PERSONAL INJURY MOTOR VEH ACCIDENT","N GLEBE & WASHINGTON BL RD","38.88596497","-77.11575265","2016-10-31T11:48:00"
"161031019","TREPASS","TRESPASSING","24XX COLUMBIA PK","38.86500352","-77.08530021","2016-10-31T11:33:00"
"161031016","TREPASS","TRESPASSING","37XX COLUMBIA PK","38.85967195","-77.09686795","2016-10-31T10:29:00"
"161031015","INTIMIDT","INTIMIDATION","13XX N STAFFORD ST","38.88886452","-77.11268498","2016-10-31T10:17:00"
"161031014","PDMVACC","PROPERTY DAMAGE MOTOR VEH ACCIDENT","46XX 32ND ST N","38.90947917","-77.12960106","2016-10-31T09:52:00"
"161031013","PDMVACC","PROPERTY DAMAGE MOTOR VEH ACCIDENT","N QUEEN ST & N RHODES ST","38.89104614","-77.07626718","2016-10-31T09:44:00"
"161031012","WARRSVC","WARRANT SERVICE","14XX N COURTHOUSE RD","38.88876211","-77.08138486","2016-10-31T08:43:00"
"161031010","PDMVACC","PROPERTY DAMAGE MOTOR VEH ACCIDENT","12TH RD & S GLEBE ST S","38.85817542","-77.0928742","2016-10-31T07:42:00"
"161031011","SMPLASLT","SIMPLE ASSAULT FAMILY","5XX N THOMAS ST","38.8773986","-77.11400331","2016-10-31T07:37:00"
"161031009","PIMVACC","PERSONAL INJURY MOTOR VEH ACCIDENT","S GLEBE & JEFFERSON DAVIS HW RD","38.84375907","-77.05180138","2016-10-31T06:42:00"
"161031007","CONTEMPT","CONTEMPT OF COURT","52XX 8TH RD S","38.85629667","-77.11782827","2016-10-31T04:20:00"
"161031005","ESCAPE","FLIGHT TO AVOID FEDERAL VIOLATION","13XX N STAFFORD ST","38.88853472","-77.11227386","2016-10-31T02:47:00"
"161030096","VEHTHEFT","VEHICLE THEFT - OTHER","41XX S FOUR MILE RUN DR","38.84783316","-77.09803001","2016-10-30T22:14:00"
"161030094","ROBBERY","ROBB OTHER OTHER STRONG ARM","12XX S TAYLOR ST","38.85784403","-77.10349447","2016-10-30T22:00:00"
